Notes,Census Region,Census Region Code,Sex,Sex Code,Year,Year Code,Race,Race Code,Deaths,Population,Crude Rate
,Census Region 1: Northeast,CENS-R1,Female,F,1999,1999,American Indian or Alaska Native,1002-5,10,106823,Unreliable
,Census Region 1: Northeast,CENS-R1,Female,F,1999,1999,Asian or Pacific Islander,A-PI,72,1133752,6.4
,Census Region 1: Northeast,CENS-R1,Female,F,1999,1999,Black or African American,2054-5,1094,3597647,30.4
,Census Region 1: Northeast,CENS-R1,Female,F,1999,1999,White,2106-3,5869,22733874,25.8
,Census Region 1: Northeast,CENS-R1,Female,F,2000,2000,American Indian or Alaska Native,1002-5,17,114584,Unreliable
,Census Region 1: Northeast,CENS-R1,Female,F,2000,2000,Asian or Pacific Islander,A-PI,77,1174043,6.6
,Census Region 1: Northeast,CENS-R1,Female,F,2000,2000,Black or African American,2054-5,1121,3633620,30.9
,Census Region 1: Northeast,CENS-R1,Female,F,2000,2000,White,2106-3,6030,22774804,26.5
,Census Region 1: Northeast,CENS-R1,Female,F,2001,2001,American Indian or Alaska Native,1002-5,14,123794,Unreliable
,Census Region 1: Northeast,CENS-R1,Female,F,2001,2001,Asian or Pacific Islander,A-PI,74,1248135,5.9
,Census Region 1: Northeast,CENS-R1,Female,F,2001,2001,Black or African American,2054-5,1201,3677182,32.7
,Census Region 1: Northeast,CENS-R1,Female,F,2001,2001,White,2106-3,6037,22793277,26.5
,Census Region 1: Northeast,CENS-R1,Female,F,2002,2002,American Indian or Alaska Native,1002-5,10,132017,Unreliable
,Census Region 1: Northeast,CENS-R1,Female,F,2002,2002,Asian or Pacific Islander,A-PI,94,1307487,7.2
,Census Region 1: Northeast,CENS-R1,Female,F,2002,2002,Black or African American,2054-5,1121,3708651,30.2
,Census Region 1: Northeast,CENS-R1,Female,F,2002,2002,White,2106-3,5919,22791296,26
,Census Region 1: Northeast,CENS-R1,Female,F,2003,2003,American Indian or Alaska Native,1002-5,13,140411,Unreliable
,Census Region 1: Northeast,CENS-R1,Female,F,2003,2003,Asian or Pacific Islander,A-PI,94,1362860,6.9
,Census Region 1: Northeast,CENS-R1,Female,F,2003,2003,Black or African American,2054-5,1190,3737636,31.8
,Census Region 1: Northeast,CENS-R1,Female,F,2003,2003,White,2106-3,5893,22778035,25.9
,Census Region 1: Northeast,CENS-R1,Female,F,2004,2004,Asian or Pacific Islander,A-PI,104,1414204,7.4
,Census Region 1: Northeast,CENS-R1,Female,F,2004,2004,Black or African American,2054-5,1117,3759294,29.7
,Census Region 1: Northeast,CENS-R1,Female,F,2004,2004,White,2106-3,5713,22729074,25.1
,Census Region 1: Northeast,CENS-R1,Female,F,2005,2005,American Indian or Alaska Native,1002-5,14,156939,Unreliable
,Census Region 1: Northeast,CENS-R1,Female,F,2005,2005,Asian or Pacific Islander,A-PI,93,1466738,6.3
,Census Region 1: Northeast,CENS-R1,Female,F,2005,2005,Black or African American,2054-5,1158,3777243,30.7
,Census Region 1: Northeast,CENS-R1,Female,F,2005,2005,White,2106-3,5591,22646513,24.7
,Census Region 1: Northeast,CENS-R1,Female,F,2006,2006,American Indian or Alaska Native,1002-5,14,165263,Unreliable
,Census Region 1: Northeast,CENS-R1,Female,F,2006,2006,Asian or Pacific Islander,A-PI,101,1518780,6.7
,Census Region 1: Northeast,CENS-R1,Female,F,2006,2006,Black or African American,2054-5,1059,3801357,27.9
,Census Region 1: Northeast,CENS-R1,Female,F,2006,2006,White,2106-3,5206,22587626,23
,Census Region 1: Northeast,CENS-R1,Female,F,2007,2007,American Indian or Alaska Native,1002-5,11,173762,Unreliable
,Census Region 1: Northeast,CENS-R1,Female,F,2007,2007,Asian or Pacific Islander,A-PI,114,1573459,7.2
,Census Region 1: Northeast,CENS-R1,Female,F,2007,2007,Black or African American,2054-5,1061,3826880,27.7
,Census Region 1: Northeast,CENS-R1,Female,F,2007,2007,White,2106-3,5095,22554095,22.6
,Census Region 1: Northeast,CENS-R1,Female,F,2008,2008,American Indian or Alaska Native,1002-5,14,183463,Unreliable
,Census Region 1: Northeast,CENS-R1,Female,F,2008,2008,Asian or Pacific Islander,A-PI,111,1631788,6.8
,Census Region 1: Northeast,CENS-R1,Female,F,2008,2008,Black or African American,2054-5,1043,3863355,27
,Census Region 1: Northeast,CENS-R1,Female,F,2008,2008,White,2106-3,4846,22553033,21.5
,Census Region 1: Northeast,CENS-R1,Female,F,2009,2009,American Indian or Alaska Native,1002-5,15,194000,Unreliable
,Census Region 1: Northeast,CENS-R1,Female,F,2009,2009,Asian or Pacific Islander,A-PI,123,1689181,7.3
,Census Region 1: Northeast,CENS-R1,Female,F,2009,2009,Black or African American,2054-5,985,3908465,25.2
